engine,model,dtype,batch_size,prompt_tokens,new_tokens,prefill_seconds,decode_seconds,decode_tokens_per_sec,prefill_tokens_per_sec,weights_vram_mib,peak_allocated_mib,peak_reserved_mib,oom,note,gpu_name,cpu_model,cpu_cores,torch_version,timestamp
vllm,Qwen/Qwen2.5-1.5B,float16,1,512,255,0.05440087401075289,2.199068841000553,115.95817067917605,9411.613495378731,7640.875,7640.875,7640.875,False,"NVML device-used (weights+reserved KV pool+CUDA graphs) @ gpu_mem_util=0.9, max_model_len=784; not comparable to HF organic growth. Per-component split (weights / KV pool / graphs) is in the vLLM init log.",NVIDIA GeForce RTX 3070,AMD Ryzen 7 3700X 8-Core Processor,16,2.11.0+cu130,2026-08-18T16:47:00+00:00
vllm,Qwen/Qwen2.5-1.5B,float16,1,512,255,0.05226374801713973,2.2064940059790388,115.56795500418977,9796.465416756777,7640.875,7640.875,7640.875,False,"NVML device-used (weights+reserved KV pool+CUDA graphs) @ gpu_mem_util=0.9, max_model_len=784; not comparable to HF organic growth. Per-component split (weights / KV pool / graphs) is in the vLLM init log.",NVIDIA GeForce RTX 3070,AMD Ryzen 7 3700X 8-Core Processor,16,2.11.0+cu130,2026-08-18T16:47:58+00:00
vllm,Qwen/Qwen2.5-1.5B,float16,1,512,255,0.0527898280415684,2.201243621937465,115.8436065225516,9698.838185205583,7640.875,7640.875,7640.875,False,"NVML device-used (weights+reserved KV pool+CUDA graphs) @ gpu_mem_util=0.9, max_model_len=784; not comparable to HF organic growth. Per-component split (weights / KV pool / graphs) is in the vLLM init log.",NVIDIA GeForce RTX 3070,AMD Ryzen 7 3700X 8-Core Processor,16,2.11.0+cu130,2026-08-18T16:48:45+00:00
