seq_len,predicted_kv_b,actual_kv_b,total_allocated_b,weights_b,residual_b,peak_allocated_b,reserved_b
532,15253504,15253504,3113487872,3088360960,9873408,3132432384,3336568832
1032,29589504,29589504,3128096256,3088360960,10145792,3179028480,3401580544
1532,43925504,43925504,3142432256,3088360960,10145792,3225387008,3466592256
2032,58261504,58261504,3156768256,3088360960,10145792,3271467008,3508535296
2532,72597504,72597504,3198180864,3088360960,37222400,3374821376,3529506816
3032,86933504,86933504,3188329984,3088360960,13035520,3409448960,3613392896
3532,101269504,101269504,3204564480,3088360960,14934016,3418904576,3638558720
4032,115605504,115605504,3216112640,3088360960,12146176,3464311808,3789553664
